age,income,loan_amount,credit_score,employment_length,num_credit_lines,debt_to_income,previous_defaults,default
61,60382.94767629455,43134.31832729753,628.6369691514615,0,14,0.4515732619749717,0,1
69,29588.209103286863,14866.178220175372,557.1216630016584,17,2,0.11543220978207147,0,1
20,43797.33114151379,42604.99323846699,706.8087420611673,18,12,0.5470423642471689,0,1
54,112621.63033929931,29296.177677943462,742.3153350505045,31,11,0.2484892076766059,0,0
68,71671.15433700033,8455.841068758735,660.1555985610245,30,1,0.006665418570412962,2,0
24,72594.69693747765,85704.86744870279,623.187296937215,32,2,0.4008577092509175,0,1
38,120803.24189271843,23061.604041567483,656.9169793035983,21,12,0.36240167942670903,0,0
26,132203.10211425007,44778.25642953585,670.8919273477754,0,6,0.0755745810535076,1,0
56,146156.95735973556,25855.712316940157,585.9900348283093,34,12,0.5759205632456034,0,1
35,24982.68559376658,32817.62900468237,528.1288899230634,16,12,0.336938658487629,1,1
21,59276.94138728509,15819.35268026013,444.9860957444647,33,14,0.2815583917853917,0,0
42,87451.7633839335,11707.820983101772,776.7182131738884,28,10,0.23887333322244472,0,0
31,90719.64160438393,28463.95568340522,699.6366243634966,5,13,0.12591082703616988,3,0
67,66661.18976665835,22406.287846548123,686.2511011344172,0,8,0.5716876855271713,0,0
26,29123.318474960866,19834.45804499431,776.519888795295,26,8,0.4212951834454018,1,1
43,99831.1571580673,38494.17262459164,524.4531990307584,11,6,0.34056224935516033,1,1
19,83668.16872903972,40184.558456987215,476.4369124144981,3,2,0.37872012107804337,0,0
37,24503.66325573375,6410.234371948585,688.423191651909,15,14,0.5042522750713576,0,0
45,51163.31880638289,17408.44908676188,679.327137544343,10,9,0.38143216858888573,1,0
64,29556.657224086266,20918.83959341141,476.86931903272466,19,10,0.0687544373828242,0,1
24,40585.003687078366,8057.399295288973,685.9521062140473,25,4,0.4183770952949512,0,0
61,20912.327632916706,13071.73227807913,609.9777047600433,27,13,0.3389216255356616,1,1
25,45568.77778177016,6590.689911919747,569.2911940262418,7,5,0.5798064645974234,1,1
64,59911.71125363297,172516.83860673968,616.6576291717587,1,1,0.44023152880369437,0,1
52,68324.30945883537,45017.570709127445,405.847142908153,39,9,0.20640174958815694,0,1
31,74456.42191347343,7745.377160197757,590.8625776608062,25,11,0.08123871084466562,0,0
34,110483.336502684,5613.716266215702,579.5705430515795,26,11,0.28936835548164536,0,0
53,32133.07129664187,43112.76002988845,705.7102446936141,32,11,0.40761256848706967,2,1
67,26419.05234774826,22351.309203918434,634.1769863489114,6,10,0.10636531074415438,1,0
57,115371.03339422807,51365.27452707014,713.8868873678881,35,13,0.3896665645731099,0,0
21,28516.456605443072,82104.54068192112,395.0460655263319,20,1,0.4953670548077435,1,1
19,203966.4231913008,32436.29696547402,566.0901777428952,33,7,0.0942301070307506,1,1
23,112428.62882599038,11214.726195488041,705.5997051571444,22,11,0.4234714221646106,1,1
59,54745.09655067964,50724.52058454041,619.1135369426845,33,9,0.040954580159888905,0,0
21,219287.31198560126,98578.88623629605,734.5460532974367,39,3,0.00477004973204016,1,0
46,25122.500492822375,31041.542085879275,469.5397090610777,6,2,0.019580811796839393,1,1
35,38053.21107804935,39370.876064453085,723.1110839689475,25,14,0.37890274658591455,1,1
43,70836.55952222431,17350.895770404662,586.086078221496,39,10,0.5840172316105124,0,1
61,41539.67415150488,19415.08595872584,576.3802915617325,16,8,0.46282335128385155,1,1
51,151813.84631263246,44801.67561484056,749.1047046927451,30,4,0.1526455560242984,1,0
27,23393.929350439306,83837.45042321387,766.1901129956506,38,1,0.043013211900508816,0,0
53,59860.07548931429,34745.65746747522,753.4699696087282,24,8,0.3699924773957886,0,0
31,64685.660089990146,51797.71295287613,850.0,36,6,0.0019373310913507024,1,0
48,72882.36504251444,10649.042644933274,776.6803608443334,14,6,0.4755513745632286,0,0
65,34763.28600984702,12146.158236666957,570.4563416267702,1,4,0.14587231545535337,0,0
32,42672.38608890388,27780.833089299995,664.1638128135651,10,6,0.17953024558495045,0,0
25,112792.67395156431,10827.72616239188,613.9802091515065,31,2,0.2063873922440919,0,0
31,30842.095482182885,35235.332577404275,850.0,29,6,0.4581317650309721,2,1
40,107685.00434639376,15344.643622666661,760.486995469871,16,2,0.15944512293042543,1,0
57,61351.694432532895,52039.180832825434,631.1119863286544,23,6,0.17068253633223063,0,0
38,91813.63889985875,54525.043823600776,737.7909797753002,3,14,0.3245951628922082,0,0
33,82519.5782210051,23696.73976225385,526.7801533686895,31,9,0.27780031717749915,0,0
62,31628.863927670798,10983.200210145182,675.0261737645473,18,7,0.5733418133006257,0,0
35,62060.639850394364,36219.49763453049,556.2077507396916,2,12,0.15803794924840364,0,1
64,121142.91127409911,152956.1857250388,481.1407799372593,3,14,0.055134745962305276,1,1
41,48291.92617299937,34232.76585617484,728.4536237529834,24,14,0.3245888847535329,1,1
43,189946.15382776296,6092.908650647445,740.8591095187552,8,12,0.11071174720342887,1,0
42,50093.62937617193,5523.357900369967,695.7212636211987,20,4,0.24817602016553497,1,0
62,27703.362970968472,16585.847962595548,631.7032959433499,22,1,0.11231876613919635,1,0
58,44668.499850753855,11536.614470290348,523.3641345153591,28,9,0.5285819332350449,0,1
46,171518.67706575032,55307.616038544504,533.8653129282752,29,1,0.196469779391402,2,1
32,39262.60246869034,60892.31558920716,553.0720020261202,24,5,0.4649205032050487,1,1
62,121284.86341931131,13977.209219644941,626.6326708275076,28,14,0.5691620358685389,0,0
18,126537.02882814675,16819.948092164217,757.6178733604916,33,7,0.5643303481062547,1,1
42,41553.49588921046,13085.323947373132,756.0404211078653,13,10,0.3148806579899888,0,0
24,24346.441277161917,76704.00483708075,485.1432400387123,21,13,0.5899530638279994,2,1
26,84468.8934533649,25953.798126157686,580.6766663283053,15,13,0.39356233102586413,0,0
41,38662.89122323049,37025.36254832211,577.9838980428161,10,10,0.07709336202071786,0,1
18,96375.29896761742,21109.035539573168,396.84168714987544,13,6,0.5330261658349424,0,1
61,49228.528447804296,34909.91301389977,706.6120946949908,6,3,0.28121354505214635,1,0
25,53205.32293976353,19625.745073171067,625.3840175681478,4,11,0.0916165726763604,2,0
41,95233.49513208136,17450.850411525513,638.6857463369024,39,8,0.4748530532455636,0,0
28,44092.74543765256,35193.03445751681,784.5871058375639,28,11,0.37464180454656265,1,0
68,49270.934617233936,31825.757435899228,658.8309013284357,16,7,0.5292725829664221,0,1
34,43595.50978101458,15424.149342711664,606.9269535033982,29,9,0.4963934779938858,0,0
25,42891.14702028141,9852.580822856,707.2077621004943,24,1,0.19206625569365904,0,0
52,57321.76283395331,18793.36374974472,755.8871846575562,13,8,0.1537887389996226,0,0
52,102721.61865201735,21094.440005590346,679.6467566049225,21,4,0.4402971289376967,0,0
50,42452.69570513162,34721.08174526681,718.9189598698149,4,7,0.3439877186679908,1,1
22,57143.6347581243,78787.26129337025,635.4432350257116,39,7,0.041924886109879274,0,0
59,75543.45367167048,6105.6710430122,641.8142253640337,27,4,0.10898267957727392,0,0
56,35697.157886712885,13377.968215802815,661.3020710298829,11,8,0.09081206808619302,0,0
58,36253.47116862218,11459.575088913498,574.6879049567339,35,13,0.3538781297147992,0,0
45,155462.39116586559,25932.396766716953,593.1938385630399,12,12,0.05145735790053239,0,0
24,84283.47525049536,21847.82467823113,787.7879641818473,20,1,0.12462056213509354,0,0
26,63041.225614634066,44173.25903076491,850.0,31,5,0.32722589748816483,0,0
25,72166.45597630093,13328.622236538475,809.219791403818,20,4,0.0798340859455096,1,0
29,21486.862227897425,32078.911256737327,517.6742643231453,36,4,0.1489630894776475,0,1
51,68130.21250320642,69588.06074288677,508.01424654150276,37,3,0.5440746202997706,1,1
50,55617.404515091,77465.13647395224,530.9290568054839,8,1,0.4182705110834312,0,1
65,59455.34333813251,100668.30262106005,663.438744187948,36,5,0.18412885678394456,0,0
40,42269.36185260359,49518.69120402656,369.12754076423363,1,8,0.5264130734125686,1,1
41,24249.247817263855,75929.95544502976,591.1198433380499,2,10,0.15017088496197867,0,1
54,30742.603146068548,13017.991816250254,790.7099289161113,9,6,0.3534496261887581,2,0
52,170536.92855948012,11603.728828983356,748.2438830728908,34,12,0.22109660258654878,0,0
61,46271.55179365433,5195.276686416225,599.0905349426492,8,1,0.4512896456153533,0,1
57,51431.97885415952,41811.548230698434,606.6644558829362,39,5,0.22295241356276074,0,0
39,22707.489031730707,88161.91595064025,706.7241706806905,31,6,0.14931700360355304,0,0
44,21914.50125517663,11208.339386071417,743.5268755244199,20,9,0.3646227644806261,0,0
52,83147.48713046647,35395.9105160418,596.686273226024,33,9,0.44720426503006055,2,1
18,58619.76547952298,46166.98183419149,626.5633978280563,24,5,0.32181821291126833,0,0
52,55535.62601263522,83772.36850968235,593.3990271479977,31,3,0.4297729714139767,0,1
54,33927.827212950535,36226.74003397377,516.8650558624786,36,6,0.2532097232187436,2,1
64,88275.73441341479,110491.91710622718,628.0256251978186,21,11,0.4772676870359446,0,1
31,29210.361424301904,17678.634393852364,620.4072459791237,24,8,0.3510148077267276,0,0
20,30532.023558962537,17920.189222769277,523.9355884011344,0,12,0.11774999087080035,3,1
18,50875.29228416583,28492.97788020304,714.6080937637729,35,11,0.5344510218602924,1,1
22,36863.21786113168,19511.00022995876,698.3320678625889,20,12,0.5020943747576642,2,1
43,34215.25445972767,5042.802368155047,719.5719700845076,15,12,0.5783473255036926,0,0
31,71815.356747309,44477.54022232131,573.1929644535631,31,5,0.34140510982241234,0,1
56,72630.12003987745,46795.58664317187,451.6424321885353,20,8,0.40544459045834674,0,1
44,107010.67523119545,46227.96255679674,696.733112964565,27,1,0.5181475417375875,1,1
26,47039.21062742338,17694.54787765132,583.5887285370286,18,8,0.03155479925590014,2,1
32,23794.675472956475,27162.509679116098,560.9331866754299,13,2,0.5473227800333337,0,1
32,35987.29224025007,18387.371769065154,524.2946925356557,22,7,0.16269805253477446,0,1
43,215614.81012919685,5484.99123545491,622.4677471912846,23,2,0.034226209014966334,0,0
59,65349.03218186328,29796.856229861474,807.7327297050473,19,3,0.1425641921044535,0,0
30,81848.40812922563,8963.480393856411,599.4550478644485,31,5,0.35181597802296627,0,0
68,20369.25159847128,7502.795823157042,541.0196955833067,39,10,0.028708199245024435,0,0
49,56511.90431518456,47256.08483190108,715.1933401030028,9,7,0.0004588597934988669,0,0
56,21912.549366123505,5286.550243080557,667.2812279771284,0,9,0.38361760387944505,2,0
66,62109.07331810655,100831.67525488928,438.0698632311793,30,12,0.27203240846262067,0,1
69,146770.54938643577,26723.99151951553,716.2346319753286,36,12,0.5065981506091615,0,0
49,192760.18686488483,127265.26743278948,850.0,14,5,0.15452837211516962,0,0
21,58886.54900386941,6792.422822486477,389.94640725709763,39,11,0.16842456259508917,0,0
47,50643.36092110908,31278.192966453684,526.4293975977876,30,1,0.046527842345499934,0,1
54,165036.64732887366,17892.443672249996,365.14729113483935,27,11,0.32310700795676534,1,1
40,75983.08894423861,60637.6222477162,642.4695579259165,9,3,0.21954263393626422,2,1
56,23355.05165381399,18445.983614313947,749.0386236611353,5,5,0.20382470909143538,0,0
62,51342.28362619999,14052.926016973428,660.5500749796279,14,12,0.2745796045308681,1,0
32,33737.96451988268,63463.58511627553,789.1995698112669,26,3,0.5098124260732224,0,1
60,51725.45678807437,19083.461896282675,733.0550290330134,9,8,0.0631131575193776,1,0
46,50391.2054984757,5509.29831511011,820.2147323502177,20,8,0.31415617651209765,0,0
53,63631.01623455592,19843.111098801077,766.0210768107095,18,11,0.1178610022168701,0,0
30,42062.684136883756,36884.81276891757,609.7056931390496,3,1,0.12743471841374973,0,0
49,28972.511118503557,13805.352513823807,656.672645623484,21,8,0.1540411272233598,1,0
24,55030.69280558311,21968.360485329897,563.1323084519026,37,14,0.27564101563623683,0,0
68,108657.54959866621,6751.608850135419,626.9343831131952,14,4,0.2966400295844735,0,0
39,74534.02563697583,31608.715313605302,656.183167201812,5,11,0.5229067569789324,1,1
45,40652.27831030528,47353.89467321206,641.5092676464647,10,6,0.5352672843826599,0,1
19,157072.35304485774,20997.892206265962,784.225352630361,29,10,0.35199852182644903,1,0
59,141639.000748287,21353.850408115908,616.9831937493169,39,8,0.16884249339231966,0,0
62,31744.893129222684,7772.7528233835765,556.7913586442643,23,14,0.49106219454574174,1,1
23,22010.77481555967,11767.17738969093,563.0388965096813,21,2,0.4757291961218886,0,1
45,87605.99261616706,10041.034063378593,715.5100271622531,29,8,0.4787720596199819,1,1
45,107899.87215553503,24715.323653292864,509.68615919110005,3,7,0.009820550101421665,0,0
61,191889.79966063867,27603.19645965174,629.8813829849082,5,4,0.4523183148040798,1,1
61,130289.43458471647,94242.69315045106,782.7500245455421,37,12,0.5116316742785487,0,1
37,65881.42734328713,7281.544385964167,679.259844574083,25,5,0.3630197629859801,0,0
47,57756.69752526815,32478.821576658167,642.5394610881245,18,6,0.4507465187629222,0,1
28,21411.798019161804,27428.007685328368,646.408959636157,1,3,0.4657021240973517,0,1
45,34161.69546703419,26784.562867429544,547.0435407772827,3,2,0.3039500434306134,0,1
42,50773.64855360139,66944.69633272497,564.2865289565459,4,14,0.4881724297291913,1,1
56,69510.84565427672,11902.721463298174,630.4818327085422,34,2,0.47537458410064554,1,1
50,60737.7071540406,6248.834396316196,677.1273030109293,28,4,0.5496626141780011,0,0
18,87863.19068245166,38467.09341691516,744.8150011802111,15,7,0.552824179271221,0,0
44,36409.02061262718,17700.814265282588,659.2560617171434,11,12,0.31782874980718856,2,0
69,61615.01529512491,5532.393716008689,785.2774175754248,20,1,0.018896304045322544,2,0
30,24613.563485121595,13685.472870635835,810.5198015209526,8,1,0.01146414386924841,0,0
58,46693.24366845886,16102.65402576911,729.5267212482204,10,4,0.5633560209637372,0,0
20,89346.89499825025,33778.9515825483,772.4981408055885,7,9,0.20241665153704758,0,0
56,79110.70480371037,10683.495671459297,550.9286478611906,25,12,0.22651992183500627,1,1
23,253580.12320922938,20984.69148174976,535.0801065311938,31,14,0.2819448176412092,0,0
25,36278.96782134649,24760.949137040716,701.7973376290165,38,12,0.15947939832072242,3,0
44,54476.61601973612,23443.24692439062,515.8790188132953,3,5,0.35424851688702835,0,0
26,39988.84685655484,114421.49381034292,620.9628155984067,33,1,0.47077223495775045,0,1
54,49044.80325070695,6397.162268823315,727.1191905329739,27,3,0.1544049822244765,1,0
50,117228.09836732678,95458.57806420706,791.3372924685207,24,11,0.44583675466253864,0,1
68,77633.74573562422,31163.70955943704,624.5784349711935,34,6,0.4032114859551302,0,0
59,127040.82857181696,52649.04333676706,585.005570469231,18,13,0.3153500776833977,0,0
61,31377.104807988882,21884.238770739878,682.0461621511582,34,3,0.19526525822762045,0,0
41,123320.78451853109,23145.18279604161,542.6456556476111,38,11,0.5236646757869521,2,1
32,23081.126794081225,68440.00158313802,632.6721351706573,28,6,0.24167764302721573,0,0
49,129731.0746119146,72882.04204285229,649.1999951723718,13,6,0.2247978409345358,0,0
49,39954.80512714099,13181.395281881132,647.2016007329205,20,5,0.3848225108626613,0,0
41,38886.731341513114,11665.890448503325,658.8503473817882,35,10,0.5521989946195012,0,0
58,55881.069961613284,25569.372038920184,566.5485144427859,37,13,0.30481075123242246,0,0
69,161249.02591279568,74160.77625721756,577.3007007381583,13,5,0.4336143981326583,0,1
66,22448.03058051237,16673.955944808033,575.288373896738,39,9,0.274129814937605,0,1
66,41711.05445905906,36667.843945716784,487.9905660804943,14,3,0.1312845906041025,0,1
69,117096.10164780502,41945.63270759881,684.1830321846106,29,11,0.07437139575502923,0,0
29,45213.56397723325,50243.646661902065,739.4657451692005,11,10,0.08179586189962748,0,0
56,31104.51141250543,29898.193669760054,729.6310082853536,4,7,0.012795429516309475,0,0
19,47651.36783607048,20447.779476719035,623.7503139539245,26,13,0.33174136625286615,1,0
20,44351.589568338706,107351.97031963646,568.8994760536112,14,4,0.07866358762440269,1,1
66,143500.62687041654,33350.79687813547,724.4314642362689,25,2,0.5194190045646565,1,1
54,91760.44555729651,44121.000759086615,713.8923022374552,8,10,0.5897385148008072,0,0
66,55171.54948068405,17692.815617376393,671.7420642436296,39,3,0.29752123606864517,1,0
34,242710.80214613583,38255.259182526876,824.4311252423273,39,3,0.26980436757007964,0,0
66,51300.370836597096,13944.001414622624,647.3574478632937,34,3,0.20884348524430374,0,0
19,23000.125530714296,13434.977166816016,624.3110016075111,12,3,0.38281616730561185,0,0
19,35209.1616629635,42628.755288846245,610.0182668925399,32,10,0.3648162552088302,0,0
45,48641.30001103523,27106.373161141524,493.9122293519193,33,6,0.20602927255635242,0,1
40,28533.640827761577,39491.79422344091,716.1339964142293,3,13,0.2058999910419019,0,0
54,167409.16904268408,14418.255492777804,639.4514632842223,12,14,0.38688229998995977,2,0
49,92803.42641932587,32393.12501032783,700.9931241356795,9,6,0.332727709338226,0,0
50,35618.35961607561,22606.029703552187,834.187800209124,0,11,0.43113325664302093,0,1
18,64678.116197216346,32261.605342488594,610.9248230095383,10,9,0.5648354097024962,0,0
36,83907.73382633057,15311.904101437505,416.19912832084486,8,8,0.4677549365998004,0,1
19,161747.83270770955,42705.49041532862,698.1070369510772,37,10,0.18260742482022466,0,0
61,126699.25791670325,54185.99282668056,666.6859389892676,22,7,0.4554734603104063,0,0
43,56200.14045810705,14029.76677965139,576.754612402868,12,12,0.2700147163873275,0,0
49,94505.60776767798,15726.855536126643,689.7266335621498,4,12,0.4665938344126158,1,1
23,61293.345570989084,37466.3104428941,728.6096320104375,24,13,0.5319427623302851,0,1
49,60226.7232653576,40680.91848582104,555.3390089788453,9,2,0.14996360947794132,0,1
21,26093.805198699483,41531.97958974135,619.8668138596618,4,10,0.14318700691797392,2,0
28,26741.62095912738,39437.0860420474,797.6753729848928,21,2,0.2595749449644872,0,0
34,57701.538391388014,19967.292861802976,577.8377808770636,24,14,0.030920324188810053,0,0
55,35657.62161068664,20068.549691151224,656.6669755413785,36,1,0.411411563566144,0,1
41,21063.066559863633,13823.788702519545,387.55888339561153,19,7,0.4498206477440166,0,1
22,84157.87249398726,10117.732059919625,501.8154498918705,27,7,0.20725800318113455,0,0
69,21651.30003119713,40385.95591152324,665.75174973328,20,1,0.2791711518580355,1,1
51,65227.600194484774,7934.629814928661,772.7987809585601,10,6,0.3542139522751372,0,0
23,58738.88510427442,88318.28840845427,513.7970317999,28,11,0.044158707609300275,0,1
39,193390.40734524745,57579.5615871451,657.4564062060497,4,14,0.4267785203192755,2,1
28,53103.08297924546,63453.60681459518,612.4282090946283,36,12,0.31602100244942694,1,1
65,23285.70386513467,76148.02935439994,745.3088054992494,4,7,0.3745573693336334,0,0
33,60113.289428950215,20758.13229828902,528.2196694677415,32,14,0.4342983485105299,0,1
50,111972.80531987877,61260.8963493165,693.0077648367485,35,1,0.40533524446389335,1,1
26,308006.2819856048,10161.442117604747,584.6309313003743,7,12,0.057192953211379134,1,1
23,48136.0579283768,5656.38238470627,672.3038024826475,5,6,0.46955524566947676,0,0
33,39305.09522727727,51098.36711890756,656.8931052308473,14,10,0.3660279491002418,0,0
46,138571.73638984963,7332.251768830265,624.8220925857382,14,9,0.4289285052042302,0,0
20,30612.7850502785,139026.66596752024,697.7811846269384,8,12,0.156901035007253,0,0
37,67781.33153733329,38699.11766851234,654.3652734302962,4,1,0.13285633151055454,2,0
53,46019.76538894778,47005.678731879925,636.7193697923306,25,2,0.4956553667164717,0,1
36,22097.504704036517,13463.084217247335,614.3583465977257,22,2,0.23423351094171613,0,0
43,41331.00075050619,38613.352422475764,657.7598389745337,15,10,0.3452080334430469,0,0
20,35409.78715415028,6325.452003046777,672.2043548146072,38,3,0.33095728341973,0,0
36,77932.63172009637,59572.51157210925,551.0857919919379,34,14,0.3511000934718113,0,1
37,168591.50861010037,10576.303422732944,615.0528762082623,9,4,0.041703856479896495,0,0
49,35601.96153653567,40856.14733005642,544.4814055368827,26,7,0.18148418736995137,1,1
24,103423.82971308798,12626.664596105866,646.0154577219214,15,3,0.03988832369185058,1,0
69,22847.559133018203,7127.264475080905,590.7667795145971,20,7,0.2880965851611925,0,0
58,58622.61743511176,24704.091787472826,727.0783147981256,11,5,0.5412592082441934,1,1
50,23658.11670873936,10564.09880437494,717.2726977756689,8,5,0.23350570998856743,0,0
57,155930.02637729622,44218.28404839177,557.725143643563,15,7,0.4694698523583843,0,1
56,92696.82452578882,13137.173786223735,649.7692654601525,8,7,0.1723478153610181,3,0
35,73639.9047088711,17578.063287080287,713.8516579248363,28,7,0.5137594632220833,0,0
57,106834.13582074433,30140.975089088202,632.4691679835971,22,9,0.2517018653246785,0,0
18,72138.04079762832,15062.85110742733,577.1782475194456,38,1,0.2131304493905383,0,0
28,193598.8020804256,19243.88241961114,540.7596471955204,23,1,0.4184877627226775,2,1
45,82580.82217665366,55722.98117120333,735.4267561578363,21,3,0.3076543693534695,0,0
42,149286.28108244573,10924.63413770446,740.271314828497,30,6,0.20239202684110938,0,0
67,56400.58654822599,7573.325265860358,629.2052401125951,9,2,0.034855337686485965,0,0
40,26225.151446166627,16940.88495790022,726.6137584526678,26,9,0.09998359428995991,0,0
48,57557.64463699044,21569.058251246828,353.4789470114659,33,1,0.46339423027595184,0,1
47,26783.703071497275,28469.798376892195,782.7554650709236,38,14,0.5524390245372042,0,1
59,64884.91722040794,18976.700469432217,634.3055194722821,23,5,0.10130297086519675,0,0
52,52936.61721620701,51806.82084530192,664.177656079949,20,7,0.34166473290492344,0,0
24,68719.2229799992,6203.401359073943,617.9482276334031,14,10,0.020504216363552107,1,0
33,20504.88962952478,21956.740407548354,789.5707481867505,16,3,0.1745060743498672,0,0
43,30835.7437090065,19450.43026021612,543.9268376044466,18,14,0.2692727754122709,0,1
65,53797.832592429084,36287.820514395644,797.4460326606836,24,2,0.4415267203792857,0,1
69,170292.72816458822,106686.58994991022,689.6270920945111,39,13,0.026464712081891096,0,0
66,44193.6921010669,26423.4895246066,712.2664215918157,21,3,0.46873839060168965,0,1
19,47614.68527604996,135001.31599326592,617.0795436671084,13,12,0.12158865858319143,1,0
18,82710.01562513527,15796.806181068327,519.178080210363,27,7,0.4557190626269525,3,1
65,66290.89322179009,5940.6377066827,743.0510765536102,11,1,0.37528248707158784,0,0
29,37757.10240679818,10433.542466952716,681.1408351189331,26,8,0.20374550215458134,1,0
22,46450.871080473175,20081.997901221606,786.1623458308818,23,3,0.4342508884747044,1,1
54,32275.836158697908,16408.569556468858,630.6223679784301,21,5,0.14179355028835353,2,1
49,189101.30522570154,8062.780192399827,608.0768621101086,38,10,0.13183677540952748,1,0
26,26999.575375709133,22003.900925646936,788.8088236640302,38,11,0.03704685490470951,0,0
58,43247.76245470658,17379.938599990415,841.1894164497444,35,5,0.23584630429446052,0,0
52,21308.93313708301,8924.425899247843,650.934717636573,22,6,0.05862397866160937,1,0
36,32537.268278546948,15534.299461299966,574.7242503142894,7,7,0.25170054321578733,0,0
65,95813.57835465926,70261.67635296064,731.0530762789549,27,11,0.005882145646236436,0,0
33,31230.683588651736,15788.18559604441,624.5979433829326,28,1,0.09305000829466663,0,0
20,24172.526355310365,42548.228525527935,709.9262825400798,14,6,0.5594231644153198,2,1
37,52165.79981195808,33406.13858135562,624.0724025621247,38,2,0.4773370897022471,0,1
41,20500.96301553061,21715.573310587075,806.4014018211813,7,14,0.14169815444132697,0,0
50,24428.783871291158,13194.668299927958,580.05104949493,27,10,0.43097520424280916,0,1
41,102415.66034893646,18814.181360921586,698.052966252196,32,3,0.401089074645262,0,0
69,93805.12113790427,31902.527516764847,601.1298029767876,10,14,0.10615536842628315,0,0
28,143336.92694100976,17958.27139799072,621.8493438579231,36,5,0.22263511620644955,1,0
66,116384.26433660356,12258.18914448158,608.7944345239423,24,1,0.5482234455369821,2,1
25,77470.37428893826,8714.65475001356,723.8608066093416,33,7,0.4432307299233902,2,1
53,22687.59768392906,68549.6970714253,741.836311493387,21,1,0.4562095177838954,0,1
55,96358.02778478907,22411.32610276369,705.7738828932371,1,8,0.3383316202407774,0,0
57,113381.55790853141,34441.54796061582,639.201653325473,15,11,0.3993238792410636,2,0
37,100242.95699451612,25224.48520495966,664.0180031001593,10,12,0.3052430857609833,1,0
52,55512.53428969825,66804.82289403533,739.7721568459425,13,6,0.4445362820017401,1,1
65,33257.02524517265,28751.58050777528,742.9311587207605,31,11,0.43963658725301746,0,1
42,113323.06533752658,24662.909733747812,380.9724368646465,21,14,0.018649912543348156,0,0
52,84944.00171862972,82548.83418862938,622.7777828227304,4,1,0.37906463558385817,1,0
42,217541.24372645633,43155.73112863359,627.5741208560514,35,14,0.3778881982345083,0,0
